id,rations,oil,coal,uranium,bauxite,iron,lead,copper,lumber,components,steel,consumer_goods,aluminium,gasoline,ammunition
384,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
395,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
394,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
648,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
259,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
232,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
231,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
258,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
424,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
300,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
405,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
404,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
465,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
464,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
668,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
495,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
494,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
9,553,1000000,1000000,995144,1000000,1000000,1000000,1000000,1000300,1000000,999185,2076868,999815,1000000,1000000
694,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
425,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
756,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
562,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
757,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
706,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
10,0,0,0,0,0,33350,0,0,380,0,0,0,200,0,0
575,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
574,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
588,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
249,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
248,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
264,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
435,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
434,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
587,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
483,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
482,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
